ccode,country_name,iso_alpha,region,full_name,display_name
552.0,ZIM,ZWE,Africa,Zimbabwe,Zimbabwe (ZWE)
553.0,MAW,MWI,Africa,Malawi,Malawi (MWI)
560.0,SAF,ZAF,Africa,South Africa,South Africa (ZAF)
565.0,NAM,NAM,Africa,Namibia,Namibia (NAM)
570.0,LES,LSO,Africa,Lesotho,Lesotho (LSO)
571.0,BOT,BWA,Africa,Botswana,Botswana (BWA)
572.0,SWA,SWZ,Africa,Eswatini,Eswatini (SWZ)
580.0,MAG,MDG,Africa,Madagascar,Madagascar (MDG)
581.0,COM,COM,Africa,Comoros,Comoros (COM)
590.0,MAS,MUS,Africa,Mauritius,Mauritius (MUS)
591.0,SEY,SYC,Africa,Seychelles,Seychelles (SYC)
600.0,MOR,MAR,Africa,Morocco,Morocco (MAR)
615.0,ALG,DZA,Africa,Algeria,Algeria (DZA)
616.0,TUN,TUN,Africa,Tunisia,Tunisia (TUN)
620.0,LIB,LBY,Africa,Libya,Libya (LBY)
625.0,SUD,SDN,Africa,Sudan,Sudan (SDN)
630.0,IRN,IRN,Asia,Iran,Iran (IRN)
640.0,TUR,TUR,Asia,Türkiye,Türkiye (TUR)
645.0,IRQ,IRQ,Asia,Iraq,Iraq (IRQ)
651.0,EGY,EGY,Africa,Egypt,Egypt (EGY)
652.0,SYR,SYR,Asia,Syria,Syria (SYR)
660.0,LEB,LBN,Asia,Lebanon,Lebanon (LBN)
663.0,JOR,JOR,Asia,Jordan,Jordan (JOR)
666.0,ISR,ISR,Asia,Israel,Israel (ISR)
670.0,SAU,SAU,Asia,Saudi Arabia,Saudi Arabia (SAU)
678.0,YAR,not found,Others,not found,not found (not found)
679.0,YEM,not found,Others,not found,not found (not found)
680.0,YPR,YEM,Asia,Yemen,Yemen (YEM)
690.0,KUW,KWT,Asia,Kuwait,Kuwait (KWT)
692.0,BAH,BHR,Asia,Bahrain,Bahrain (BHR)
694.0,QAT,QAT,Asia,Qatar,Qatar (QAT)
696.0,UAE,ARE,Asia,United Arab Emirates,United Arab Emirates (ARE)
698.0,OMA,OMN,Asia,Oman,Oman (OMN)
700.0,AFG,AFG,Asia,Afghanistan,Afghanistan (AFG)
701.0,TKM,TKM,Asia,Turkmenistan,Turkmenistan (TKM)
702.0,TAJ,TJK,Asia,Tajikistan,Tajikistan (TJK)
703.0,KYR,KGZ,Asia,Kyrgyzstan,Kyrgyzstan (KGZ)
704.0,UZB,UZB,Asia,Uzbekistan,Uzbekistan (UZB)
705.0,KZK,KAZ,Asia,Kazakhstan,Kazakhstan (KAZ)
710.0,CHN,CHN,Asia,China,China (CHN)
712.0,MON,MNG,Asia,Mongolia,Mongolia (MNG)
713.0,TAW,TWN,Asia,Taiwan,Taiwan (TWN)
731.0,PRK,PRK,Asia,North Korea,North Korea (PRK)
732.0,ROK,KOR,Asia,South Korea,South Korea (KOR)
740.0,JPN,JPN,Asia,Japan,Japan (JPN)
750.0,IND,IND,Asia,India,India (IND)
760.0,BHU,BTN,Asia,Bhutan,Bhutan (BTN)
770.0,PAK,PAK,Asia,Pakistan,Pakistan (PAK)
771.0,BNG,BGD,Asia,Bangladesh,Bangladesh (BGD)
775.0,MYA,MMR,Asia,Myanmar,Myanmar (MMR)
780.0,SRI,LKA,Asia,Sri Lanka,Sri Lanka (LKA)
781.0,MAD,MDV,Asia,Maldives,Maldives (MDV)
790.0,NEP,NPL,Asia,Nepal,Nepal (NPL)
800.0,THI,THA,Asia,Thailand,Thailand (THA)
811.0,CAM,KHM,Asia,Cambodia,Cambodia (KHM)
812.0,LAO,LAO,Asia,Laos,Laos (LAO)
816.0,DRV,not found,Others,not found,not found (not found)
817.0,RVN,VNM,Asia,Vietnam,Vietnam (VNM)
820.0,MAL,MYS,Asia,Malaysia,Malaysia (MYS)
830.0,SIN,SGP,Asia,Singapore,Singapore (SGP)
835.0,BRU,BRN,Asia,Brunei Darussalam,Brunei Darussalam (BRN)
840.0,PHI,PHL,Asia,Philippines,Philippines (PHL)
850.0,INS,IDN,Asia,Indonesia,Indonesia (IDN)
860.0,ETM,TLS,Asia,Timor-Leste,Timor-Leste (TLS)
900.0,AUL,AUS,Oceania,Australia,Australia (AUS)
910.0,PNG,PNG,Oceania,Papua New Guinea,Papua New Guinea (PNG)
920.0,NEW,NZL,Oceania,New Zealand,New Zealand (NZL)
935.0,VAN,VUT,Oceania,Vanuatu,Vanuatu (VUT)
940.0,SOL,SLB,Oceania,Solomon Islands,Solomon Islands (SLB)
946.0,KIR,not found,Others,not found,not found (not found)
947.0,TUV,not found,Others,not found,not found (not found)
950.0,FIJ,FJI,Oceania,Fiji,Fiji (FJI)
955.0,TON,not found,Others,not found,not found (not found)
970.0,NAU,KIR,Oceania,Kiribati,Kiribati (KIR)
983.0,MSI,MHL,Oceania,Marshall Islands,Marshall Islands (MHL)
986.0,PAL,PLW,Oceania,Palau,Palau (PLW)
987.0,FSM,FSM,Oceania,"Micronesia, Fed. Sts.","Micronesia, Fed. Sts. (FSM)"
990.0,WSM,WSM,Oceania,Samoa,Samoa (WSM)
